Doublelift,CheesePuppy,AD Carry,Counter Logic Gaming,505.40,28.08,18,111,0,126,"6,040",8,4 / 0 / 1
Apollo,The Fye,AD Carry,Team Impulse,489.49,27.19,18,90,0,155,"5,499",9,2 / 0 / 0
Rush,LeIBron,Jungler,Team Impulse,462.00,25.67,18,68,0,184,"2,300",10,1 / 1 / 0
Piglet,OG5 Ablaze,AD Carry,Team Liquid,457.90,25.44,18,93,0,122,"6,390",7,3 / 1 / 0
Rekkles,ChrisL,AD Carry,Fnatic,450.33,25.02,18,99,0,125,"5,683",3,1 / 0 / 0
Impact,The Fye,Top,Team Impulse,442.47,24.58,18,66,0,167,"4,197",9,0 / 0 / 0
FeniX,PWG Pups,Mid,Team Liquid,438.89,24.38,18,85,0,124,"6,389",4,3 / 1 / 0
Febiven,Boomdude111,Mid,Fnatic,438.56,24.36,18,90,0,120,"5,956",5,2 / 1 / 0
Huni,UT Reformed Me,Top,Fnatic,433.20,24.07,18,88,0,131,"5,070",5,0 / 0 / 0
Hjarnan,Boomdude111,AD Carry,H2K,424.07,23.56,18,95,0,104,"5,707",4,4 / 1 / 0
Niels,ChrisL,AD Carry,ORIGEN,421.31,23.41,18,95,0,110,"5,631",4,1 / 0 / 0
Quas,LeIBron,Top,Team Liquid,407.74,22.65,18,62,0,150,"4,274",7,1 / 0 / 0
Bjergsen,CheesePuppy,Mid,Team SoloMid,406.90,22.61,18,107,0,78,"6,590",4,1 / 0 / 0
YellOwStaR,PWG Pups,Support,Fnatic,405.66,22.54,18,11,0,234,666,13,0 / 0 / 0
Adrian,The Fye,Support,Team Impulse,405.49,23.85,17,16,0,228,549,13,0 / 0 / 0
Altec,PWG Pups,AD Carry,Gravity,399.70,22.21,18,87,0,101,"6,820",0,3 / 0 / 0
Pobelter,UT Reformed Me,Mid,Counter Logic Gaming,393.80,21.88,18,70,0,125,"5,230",6,1 / 0 / 0
Ryu,LeIBron,Mid,H2K,393.51,21.86,18,85,0,100,"5,451",4,3 / 1 / 0
Aphromoo,The Fye,Support,Counter Logic Gaming,392.75,21.82,18,19,0,217,525,12,0 / 0 / 0
IWDominate,PWG Pups,Jungler,Team Liquid,390.02,21.67,18,35,0,182,"2,302",11,1 / 0 / 0
Hauntzer,ChrisL,Top,Gravity,389.52,21.64,18,72,0,124,"4,752",5,1 / 0 / 0
Zion Spartan,PWG Pups,Top,Counter Logic Gaming,388.94,21.61,18,71,0,126,"4,194",8,0 / 0 / 0
xPeke,PWG Pups,Mid,ORIGEN,383.76,21.32,18,79,0,106,"5,876",4,0 / 0 / 0
XiaoWeiXiao,CheesePuppy,Mid,Team Impulse,381.58,23.85,16,63,0,126,"5,458",5,1 / 0 / 0
Reignover,CheesePuppy,Jungler,Fnatic,374.70,20.82,18,44,0,166,"2,370",7,0 / 0 / 0
Keane,The Fye,Mid,Gravity,373.57,20.75,18,55,0,130,"5,457",5,2 / 0 / 0
Xpecial,OG5 Ablaze,Support,Team Liquid,368.13,20.45,18,13,0,210,513,11,0 / 0 / 0
SoaZ,,Top,ORIGEN,364.44,20.25,18,57,0,132,"4,244",5,0 / 0 / 0
Fox,OG5 Ablaze,Mid,SK Gaming,364.24,20.24,18,91,0,77,"5,374",2,2 / 1 / 0
Sneaky,UT Reformed Me,AD Carry,Cloud9 ,363.53,20.20,18,73,0,92,"5,753",3,3 / 2 / 0
Nukeduck,ChrisL,Mid,ROCCAT,360.88,20.05,18,65,0,105,"6,038",4,0 / 1 / 0
CoreJJ,LeIBron,AD Carry,Team Dignitas,359.90,19.99,18,65,0,111,"5,340",3,2 / 0 / 0
Adryh,UT Reformed Me,AD Carry,GIANTS GAMING,359.35,19.96,18,75,0,89,"5,285",4,5 / 1 / 0
Xmithie,CheesePuppy,Jungler,Counter Logic Gaming,355.28,19.74,18,30,0,171,"2,278",8,0 / 0 / 0
Odoamne,ChrisL,Top,H2K,354.82,19.71,18,60,0,125,"4,132",3,0 / 0 / 0
kaSing,OG5 Ablaze,Support,H2K,354.70,19.71,18,24,0,189,520,9,0 / 0 / 0
Amazing,Boomdude111,Jungler,ORIGEN,353.09,19.62,18,43,0,156,"2,109",6,0 / 0 / 0
CandyPanda,The Fye,AD Carry,SK Gaming,349.30,19.41,18,70,0,95,"5,880",3,1 / 0 / 0
PowerOfEvil,The Fye,Mid,Unicorns Of Love,347.77,19.32,18,71,0,91,"5,327",3,0 / 0 / 1
PepiiNeRO,UT Reformed Me,Mid,GIANTS GAMING,343.10,19.06,18,73,0,83,"6,460",2,2 / 0 / 0
Mithy,PWG Pups,Support,ORIGEN,341.87,18.99,18,16,0,189,437,11,0 / 0 / 0
Nien,LeIBron,AD Carry,Team 8,341.15,21.32,16,75,0,83,"5,365",3,1 / 1 / 0
Santorin,Boomdude111,Jungler,Team SoloMid,340.31,18.91,18,25,0,165,"2,481",9,0 / 0 / 0
Shiphtur,LeIBron,Mid,Team Dignitas,339.66,18.87,18,63,0,91,"5,616",3,0 / 1 / 1
Gamsu,CheesePuppy,Top,Team Dignitas,338.90,18.83,18,54,0,114,"4,590",6,1 / 0 / 0
Bunny FuFuu,CheesePuppy,Support,Gravity,338.66,18.81,18,10,0,194,566,11,0 / 0 / 0
Move,The Fye,Jungler,Gravity,333.23,18.51,18,42,0,147,"2,073",4,0 / 0 / 0
Vizicsacsi,PWG Pups,Top,Unicorns Of Love,332.06,18.45,18,43,0,130,"4,106",5,0 / 0 / 0
Steve,LeIBron,Top,ROCCAT,327.42,18.19,18,39,0,128,"4,742",5,0 / 0 / 0
Werlyb,,Top,GIANTS GAMING,327.36,18.19,18,47,0,116,"4,736",5,1 / 0 / 0
Froggen,ChrisL,Mid,Elements,327.28,18.18,18,69,0,76,"6,428",3,0 / 1 / 0
WildTurtle,PWG Pups,AD Carry,Team SoloMid,324.93,19.11,17,60,0,92,"6,093",2,1 / 0 / 0
Vardags,,AD Carry,Unicorns Of Love,324.76,18.04,18,57,0,102,"4,976",4,0 / 0 / 0
Incarnati0n,OG5 Ablaze,Mid,Cloud9 ,324.46,18.03,18,64,0,90,"5,746",2,0 / 0 / 0
Svenskeren,,Jungler,SK Gaming,320.81,17.82,18,44,0,134,"2,181",5,0 / 0 / 0
Dyrus,CheesePuppy,Top,Team SoloMid,318.24,17.68,18,38,0,124,"4,824",3,1 / 0 / 0
Loulex,OG5 Ablaze,Jungler,H2K,317.92,17.66,18,24,0,158,"1,692",8,0 / 0 / 0
Jankos,,Jungler,ROCCAT,317.37,17.63,18,44,0,130,"2,437",5,0 / 0 / 0
nRated,LeIBron,Support,SK Gaming,308.35,17.13,18,10,0,172,635,12,0 / 0 / 0
Seraph,,Top,Team Dragon Knights,303.84,16.88,18,56,0,92,"5,184",1,0 / 0 / 0
Balls,,Top,Cloud9 ,303.02,16.83,18,40,0,114,"4,002",6,0 / 0 / 0
fredy122,Boomdude111,Top,SK Gaming,301.55,16.75,18,35,0,118,"4,655",4,0 / 0 / 0
Lustboy,ChrisL,Support,Team SoloMid,298.72,16.60,18,13,0,166,572,9,0 / 0 / 0
Porpoise8,,Jungler,Team 8,298.30,16.57,18,20,0,148,"2,030",8,0 / 0 / 0
Tabzz,Boomdude111,AD Carry,Elements,295.38,16.41,18,51,0,85,"5,788",1,3 / 0 / 0
Otter,,AD Carry,Enemy Esports,293.75,16.32,18,61,0,71,"5,525",3,2 / 0 / 0
Jwaow,,Top,Elements,292.31,16.24,18,32,0,114,"4,731",5,0 / 0 / 0
VandeR,,Support,ROCCAT,290.90,16.16,18,18,0,152,690,10,0 / 0 / 0
Cabochard,OG5 Ablaze,Top,Gambit Gaming,290.85,16.16,18,65,0,70,"5,385",1,0 / 0 / 0
CaliTrlolz8,Boomdude111,Top,Team 8,289.08,16.06,18,42,0,103,"4,458",3,0 / 0 / 0
kez,,Jungler,Team Dragon Knights,288.71,16.04,18,32,0,129,"2,321",4,0 / 0 / 0
Fr3deric,ChrisL,Jungler,GIANTS GAMING,288.58,16.03,18,27,0,135,"2,008",6,0 / 0 / 0
Innox,,Mid,Enemy Esports,286.12,15.90,18,54,0,78,"5,512",3,0 / 0 / 0
G0DFRED,UT Reformed Me,Support,GIANTS GAMING,283.72,15.76,18,11,0,163,322,7,0 / 0 / 0
Dodo8,,Support,Team 8,282.76,15.71,18,21,0,146,776,7,0 / 0 / 0
Hylissang,Boomdude111,Support,Unicorns Of Love,282.15,15.67,18,10,0,162,315,8,0 / 0 / 0
Betsy,,Mid,Gambit Gaming,277.33,15.41,18,50,0,79,"5,483",1,1 / 0 / 0
KiWiKiD,UT Reformed Me,Support,Team Dignitas,271.14,15.06,18,16,0,148,514,6,0 / 0 / 0
Trashy,ChrisL,Jungler,Enemy Esports,270.03,15.00,18,29,0,120,"2,003",6,0 / 0 / 0
LemonNation,,Support,Cloud9 ,268.75,14.93,18,12,0,149,525,8,0 / 0 / 0
Dexter,LeIBron,Jungler,Elements,267.44,14.86,18,33,0,117,"2,194",2,0 / 0 / 0
Kikis,The Fye,Jungler,Unicorns Of Love,262.06,18.72,14,40,0,103,"1,556",6,0 / 0 / 0
Freeze,,AD Carry,Copenhagen Wolves,253.84,14.10,18,59,0,46,"5,484",2,4 / 0 / 0
Smoothie,,Support,Team Dragon Knights,250.46,16.70,15,9,0,141,496,8,0 / 0 / 0
Flaresz,,Top,Enemy Esports,239.37,13.30,18,37,0,81,"3,987",2,0 / 0 / 0
goldenglue,,Mid,Team 8,238.15,19.85,12,36,0,79,"3,965",4,0 / 0 / 0
FORG1VEN,OG5 Ablaze,AD Carry,Gambit Gaming,233.62,14.60,16,33,0,73,"5,612",1,0 / 0 / 0
Bodydrop,,Support,Enemy Esports,216.69,12.04,18,11,0,119,419,6,0 / 0 / 0
Diamondprox,,Jungler,Gambit Gaming,215.40,11.97,18,33,0,85,"1,990",1,0 / 0 / 0
Ninja,Boomdude111,Mid,Team Dragon Knights,204.25,22.69,9,49,0,49,"3,275",0,0 / 0 / 0
Gosu Pepper,,Support,Gambit Gaming,202.20,11.23,18,8,0,115,570,4,0 / 0 / 0
Emperor,,AD Carry,Team Dragon Knights,200.97,22.33,9,46,0,49,"3,147",1,1 / 0 / 0
MrRalleZ,,AD Carry,ROCCAT,200.64,16.72,12,35,0,57,"4,114",1,1 / 0 / 0
Helios,UT Reformed Me,Jungler,Team Dignitas,196.30,14.02,14,21,0,91,"1,380",2,0 / 0 / 0
Soren,,Mid,Copenhagen Wolves,177.01,9.83,18,29,0,42,"5,401",1,0 / 0 / 0
LattmaN,,AD Carry,Team Dragon Knights,151.67,16.85,9,20,0,51,"3,117",2,0 / 0 / 0
Meteos,OG5 Ablaze,Jungler,Cloud9 ,138.20,13.82,10,11,0,65,"1,270",3,0 / 0 / 0
Woolite,,AD Carry,ROCCAT,134.34,22.39,6,31,0,34,"1,934",1,0 / 0 / 0
Nyph,,Support,Elements,125.52,12.55,10,7,0,68,352,3,0 / 0 / 0
Hai,,Jungler,Cloud9 ,123.93,15.49,8,18,0,51,"1,143",0,0 / 0 / 0
YoungBuck,,Top,Copenhagen Wolves,112.57,11.26,10,15,0,39,"2,007",2,0 / 0 / 0
Shook,,Jungler,Copenhagen Wolves,103.58,10.36,10,13,0,43,"1,108",1,0 / 0 / 0
PromisQ,,Support,Elements,102.77,12.85,8,5,0,58,177,2,0 / 0 / 0
Airwaks,,Jungler,Copenhagen Wolves,100.41,12.55,8,19,0,35,791,1,0 / 0 / 0
Lenny,,Top,Copenhagen Wolves,98.67,12.33,8,12,0,37,"1,717",1,0 / 0 / 0
Gate,,Mid,Team Impulse,90.04,30.01,3,15,0,29,854,2,2 / 0 / 0
Slooshi8,,Mid,Team 8,87.71,14.62,6,17,0,22,"1,871",0,1 / 0 / 0
Bischu,,Mid,Team Dragon Knights,84.51,14.09,6,9,0,31,"2,001",0,0 / 0 / 0
Unlimited,,Support,Copenhagen Wolves,84.25,8.43,10,1,0,51,175,2,0 / 0 / 0
Azingy,,Jungler,Team Dignitas,77.72,19.43,4,13,0,29,422,2,0 / 0 / 0
Je suis Kaas,,Support,Copenhagen Wolves,73.82,9.23,8,2,0,44,182,1,0 / 0 / 0
Gilius,UT Reformed Me,Jungler,Unicorns Of Love,64.93,16.23,4,5,0,33,343,1,0 / 0 / 0
mancloud,,Mid,Team Dragon Knights,61.13,20.38,3,12,0,17,963,0,1 / 0 / 0
KEITH,,AD Carry,Team SoloMid,34.04,34.04,1,4,0,13,454,1,0 / 0 / 0
maplestreet8,CheesePuppy,AD Carry,Team 8,31.30,15.65,2,4,0,12,530,0,0 / 0 / 0
Moopz,,AD Carry,Gambit Gaming,30.69,15.35,2,5,0,9,719,0,0 / 0 / 0
Baby,,Support,Team Dragon Knights,18.59,6.20,3,2,0,9,109,0,0 / 0 / 0
Alex Ich,,Mid,Team 8,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Am1n,,Jungler,ROCCAT,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Angelas,,Support,Copenhagen Wolves,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Araneae,,Jungler,ORIGEN,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
avenuee,,Mid,Fnatic,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
beansu,,Top,SK Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
bigfatlp,,Mid,Counter Logic Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Billyboss,,Top,Team SoloMid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
BrandonFTW,,Top,Team 8,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Casadar,,Top,ORIGEN,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
CheeseBeluga,,Jungler,Team 8,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
CloudNguyen,,Jungler,Team Dignitas,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Cop,,AD Carry,Gravity,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
cowTard,,Mid,Copenhagen Wolves,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Crykee,,AD Carry,SK Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Cyanide,,Jungler,ORIGEN,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Darien,,Top,Gambit Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Eika,,Mid,Unicorns Of Love,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Fabbbyyy,,AD Carry,Team Liquid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Foo Sharp,,AD Carry,ROCCAT,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
For our past,,AD Carry,Team Impulse,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Genja,,AD Carry,Gambit Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Hard,,Jungler,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
HeartbeaT,,Mid,Team Dignitas,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
HotshotGG,,Mid,Counter Logic Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
HuHi,,Mid,Counter Logic Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Hulberto,,Jungler,H2K,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Inori,,Jungler,Team Dignitas,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Kektz,,Top,Fnatic,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Kev1n,,Top,Elements,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Kyle,,Mid,Team Dragon Knights,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Matlife,,Support,Gravity,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Noxiak,,Support,GIANTS GAMING,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
NyJacky,,Mid,Team Liquid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Obvious,,Jungler,SK Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Overpow,,Top,ROCCAT,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
P1noy,,AD Carry,Gambit Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Patoy,,Support,Team SoloMid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Reginald,,Mid,Team SoloMid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Remilia,,Support,Team Dragon Knights,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Rhux,,Top,Team Impulse,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Rydle,,Support,GIANTS GAMING,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
saeca,,Top,Team Liquid,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Saintvicious,,Jungler,Gravity,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Sheep,,Support,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
ShorterACE,,Jungler,Enemy Esports,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Steeelback,,AD Carry,Fnatic,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Stixxay,,AD Carry,Counter Logic Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Syaka,,Top,Team Impulse,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Thinkcard,,Jungler,Counter Logic Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Tuki,,AD Carry,Unicorns Of Love,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Westrice,,Top,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Xpecake,,AD Carry,Gravity,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Yusui,,Mid,Cloud9 ,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
Zytan,,Support,SK Gaming,0.00,0.00,0,0,0,0,0,0,0 / 0 / 0
